Post code;Sub-municipality name (Dutch)
3211;Binkom
1910;Kampenhout
9120;Beveren
9520;Sint-Lievens-Houtem
9667;Sint-Kornelis-Horebeke
4452;
4101;
4210;
4802;
4900;
6470;
7801;
7080;
7811;
6031;
7640;
7782;
7743;
6591;
7180;
6182;
7011;
7502;
6590;
7062;
6223;
1110;Brussel
1005;Brussel
1310;
2980;Zoersel
2960;Brecht
2222;Itegem
2580;Putte
5520;
5070;
5336;
3670;Gruitrode
3732;Schalkhoven
3940;Hechtel
3960;Bree
8340;Moerkerke
8420;Wenduine
8511;Aalbeke
8573;Tiegem
8780;Oostrozebeke
6706;
6760;
3391;Meensel-Kiezegem
1980;Eppegem
3071;Erps-Kwerps
4630;
7750;
6140;
7941;
7350;
7170;
7780;
1041;Brussel
1046;Evere
1402;
2323;Wortel
2400;Dessel
5376;
5530;
5573;
5361;
3600;Genk
3700;Tongeren
3990;Peer
8000;Brugge
8400;Stene
8431;Wilskerke
8572;Kaster
8630;Bulskamp
8670;Oostduinkerke
6671;
6810;
6832;
6952;
6953;
1745;Opwijk
3294;Molenstede
1750;Sint-Martens-Lennik
9472;Iddergem
9680;Etikhove
9450;Denderhoutem
9401;Pollare
9820;Merelbeke
4432;
4102;
4160;
4960;
7784;
6240;
6041;
6674;
6830;
6941;
3390;Tielt
3202;Rillaar
1600;Sint-Pieters-Leeuw
3060;Bertem
9099;Wondelgem
9220;Hamme
9772;Wannegem-Lede
9992;Middelburg
4263;
4253;
4850;
4983;
4030;
4837;
4190;
4731;
4950;
4684;
4250;
7540;
7181;
7760;
7530;
7618;
7912;
6000;
7904;
7380;
7070;
1000;Sint-Joost-ten-Node
1160;Oudergem
1340;
2570;Duffel
2830;Willebroek
2450;Meerhout
2560;Kessel
2223;Schriek
2800;Mechelen
5521;
5100;
5332;
3680;Neeroeteren
3740;Bilzen
8940;Geluwe
8952;Wulvergem
6637;
8900;Ieper
8930;Menen
6680;
6704;
6740;
3400;Neerwinden
1800;Vilvoorde
1840;Londerzeel
5300;
5544;
5004;
3806;Velm
8530;Harelbeke
1701;Itterbeek
9310;Moorsel
9042;Sint-Kruis-Winkel
9520;Vlierzele
9552;Borsbeke
4728;
4520;
4987;
4557;
7130;
7503;
7622;
7603;
7041;
1170;Watermaal-Bosvoorde
1332;
1435;
1471;
1480;
2300;Turnhout
;
;
0;
2370;Arendonk
2243;Pulle
2160;Wommelgem
5370;
5564;
5555;
5360;
5032;
5380;
3621;Rekem
3770;Riemst
3790;Sint-Martens-Voeren
8210;Zedelgem
8490;Jabbeke
8552;Moen
8720;Markegem
8730;Beernem
8851;Koolskamp
6666;
6690;
6730;
6747;
6890;
3440;Zoutleeuw
3150;Haacht
3404;Attenhoven
3290;Schaffen
3321;Outgaarden
9690;Kwaremont
9750;Huise
9070;Heusden
9661;Parike
9240;Zele
9080;Lochristi
4860;
4690;
4841;
4130;
7863;
6460;
6511;
7548;
7700;
1031;Schaarbeek
1008;Brussel
1300;
1420;
5571;
5080;
5543;
3581;Beverlo
3583;Paal
3590;Diepenbeek
3640;Molenbeersel
3717;Herstappe
3722;Wintershoven
3891;Buvingen
3980;Tessenderlo
8550;Zwevegem
8553;Otegem
8691;Leisele
8700;Tielt
8760;Meulebeke
6840;
6870;
6983;
6987;
3120;Tremelo
