;Post code;Sub-municipality name (Dutch)
0;3211.0;Binkom
1;1910.0;Kampenhout
2;9120.0;Beveren
3;9520.0;Sint-Lievens-Houtem
4;9667.0;Sint-Kornelis-Horebeke
5;4452.0;
6;4101.0;
7;4210.0;
8;4802.0;
9;4900.0;
10;6470.0;
11;7801.0;
12;7080.0;
13;7811.0;
14;6031.0;
15;7640.0;
16;7782.0;
17;7743.0;
18;6591.0;
19;7180.0;
20;6182.0;
21;7011.0;
22;7502.0;
23;6590.0;
24;7062.0;
25;6223.0;
26;1110.0;Brussel
27;1005.0;Brussel
28;1310.0;
29;2980.0;Zoersel
30;2960.0;Brecht
31;2222.0;Itegem
32;2580.0;Putte
33;5520.0;
34;5070.0;
35;5336.0;
36;3670.0;Gruitrode
37;3732.0;Schalkhoven
38;3940.0;Hechtel
39;3960.0;Bree
40;8340.0;Moerkerke
41;8420.0;Wenduine
42;8511.0;Aalbeke
43;8573.0;Tiegem
44;8780.0;Oostrozebeke
45;6706.0;
46;6760.0;
47;3391.0;Meensel-Kiezegem
48;1980.0;Eppegem
49;3071.0;Erps-Kwerps
50;4630.0;
51;7750.0;
52;6140.0;
53;7941.0;
54;7350.0;
55;7170.0;
56;7780.0;
57;1041.0;Brussel
58;1046.0;Evere
59;1402.0;
60;2323.0;Wortel
61;2400.0;Dessel
62;5376.0;
63;5530.0;
64;5573.0;
65;5361.0;
66;3600.0;Genk
67;3700.0;Tongeren
68;3990.0;Peer
69;8000.0;Brugge
70;8400.0;Stene
71;8431.0;Wilskerke
72;8572.0;Kaster
73;8630.0;Bulskamp
74;8670.0;Oostduinkerke
75;6671.0;
76;6810.0;
77;6832.0;
78;6952.0;
79;6953.0;
80;1745.0;Opwijk
81;3294.0;Molenstede
82;1750.0;Sint-Martens-Lennik
83;9472.0;Iddergem
84;9680.0;Etikhove
85;9450.0;Denderhoutem
86;9401.0;Pollare
87;9820.0;Merelbeke
88;4432.0;
89;4102.0;
90;4160.0;
91;4960.0;
92;7784.0;
93;6240.0;
94;6041.0;
95;6674.0;
96;6830.0;
97;6941.0;
98;3390.0;Tielt
99;3202.0;Rillaar
100;1600.0;Sint-Pieters-Leeuw
101;3060.0;Bertem
102;9099.0;Wondelgem
103;9220.0;Hamme
104;9772.0;Wannegem-Lede
105;9992.0;Middelburg
106;4263.0;
107;4253.0;
108;4850.0;
109;4983.0;
110;4030.0;
111;4837.0;
112;4190.0;
113;4731.0;
114;4950.0;
115;4684.0;
116;4250.0;
117;7540.0;
118;7181.0;
119;7760.0;
120;7530.0;
121;7618.0;
122;7912.0;
123;6000.0;
124;7904.0;
125;7380.0;
126;7070.0;
127;1000.0;Sint-Joost-ten-Node
128;1160.0;Oudergem
129;1340.0;
130;2570.0;Duffel
131;2830.0;Willebroek
132;2450.0;Meerhout
133;2560.0;Kessel
134;2223.0;Schriek
135;2800.0;Mechelen
136;5521.0;
137;5100.0;
138;5332.0;
139;3680.0;Neeroeteren
140;3740.0;Bilzen
141;8940.0;Geluwe
142;8952.0;Wulvergem
143;6637.0;
144;8900.0;Ieper
145;8930.0;Menen
146;6680.0;
147;6704.0;
148;6740.0;
149;3400.0;Neerwinden
150;1800.0;Vilvoorde
151;1840.0;Londerzeel
152;5300.0;
153;5544.0;
154;5004.0;
155;3806.0;Velm
156;8530.0;Harelbeke
157;1701.0;Itterbeek
158;9310.0;Moorsel
159;9042.0;Sint-Kruis-Winkel
160;9520.0;Vlierzele
161;9552.0;Borsbeke
162;4728.0;
163;4520.0;
164;4987.0;
165;4557.0;
166;7130.0;
167;7503.0;
168;7622.0;
169;7603.0;
170;7041.0;
171;1170.0;Watermaal-Bosvoorde
172;1332.0;
173;1435.0;
174;1471.0;
175;1480.0;
176;2300.0;Turnhout
177;;
178;;
179;0.0;
180;2370.0;Arendonk
181;2243.0;Pulle
182;2160.0;Wommelgem
183;5370.0;
184;5564.0;
185;5555.0;
186;5360.0;
187;5032.0;
188;5380.0;
189;3621.0;Rekem
190;3770.0;Riemst
191;3790.0;Sint-Martens-Voeren
192;8210.0;Zedelgem
193;8490.0;Jabbeke
194;8552.0;Moen
195;8720.0;Markegem
196;8730.0;Beernem
197;8851.0;Koolskamp
198;6666.0;
199;6690.0;
200;6730.0;
201;6747.0;
202;6890.0;
203;3440.0;Zoutleeuw
204;3150.0;Haacht
205;3404.0;Attenhoven
206;3290.0;Schaffen
207;3321.0;Outgaarden
208;9690.0;Kwaremont
209;9750.0;Huise
210;9070.0;Heusden
211;9661.0;Parike
212;9240.0;Zele
213;9080.0;Lochristi
214;4860.0;
215;4690.0;
216;4841.0;
217;4130.0;
218;7863.0;
219;6460.0;
220;6511.0;
221;7548.0;
222;7700.0;
223;1031.0;Schaarbeek
224;1008.0;Brussel
225;1300.0;
226;1420.0;
227;5571.0;
228;5080.0;
229;5543.0;
230;3581.0;Beverlo
231;3583.0;Paal
232;3590.0;Diepenbeek
233;3640.0;Molenbeersel
234;3717.0;Herstappe
235;3722.0;Wintershoven
236;3891.0;Buvingen
237;3980.0;Tessenderlo
238;8550.0;Zwevegem
239;8553.0;Otegem
240;8691.0;Leisele
241;8700.0;Tielt
242;8760.0;Meulebeke
243;6840.0;
244;6870.0;
245;6983.0;
246;6987.0;
247;3120.0;Tremelo
248;1541.0;Sint-Pieters-Kapelle
249;3270.0;Scherpenheuvel
250;2310.0;Rijkevorsel
251;2547.0;Lint
